序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
,查看谁喜欢我，寻找对自己感兴趣的人,"You can see who likes you,looking for people who are interested in yourself.",يمكنك أن ترى من تعجبه ، ابحث عن الأشخاص المهتمين بك.,"Sizi beğenen kişileri görebilir, sizin ilginizi çeken kişileri arayabilirsiniz.",Anda dapat melihat siapa yang menyukai Anda. Mencari orang-orang yang tertarik pada diri Anda sendiri.,"Осмотреть, кто меня любит, искать лицо, которое я интересовал (ла).","누가 나를 좋아하는지 살펴봄, 나에게 관심 있는 사람 찾기","Você pode ver quem gosta de você, procurando pessoas interessadas em si.",ดูว่าใครถูกใจฉัน และค้นหาคนที่สนใจฉัน,Observar a quién le gusto y encuentre personas que estén interesadas en mí.,"आप देख सकते हैं कि कौन आपको पसंद करता है, ऐसे लोगों की तलाश में जो आप पर रुचि रखते हैं","Xem ai thích tôi, tìm kiếm những người quan tâm đến mình.",دیکھو کون مجھے پسند کرتا ہے اور ایسے لوگوں کو تلاش کرتا ہے جو آپ میں دلچسپی رکھتے ہیں
,钻石奖励,Diamond Rewards,المكافآت الماسة,Elmas Ödülleri,Hadiah Berlian,Награда бриллиантами,다이아몬드 보너스,Recompensas de diamante,รางวัลเพชร,Recompensas de diamantes,हीरा पुरस्कार,Giải thưởng kim cương,ڈائمنڈ انعامات
,每月获得%s钻石。每日登陆获得%s钻石,Get %s diamonds every month.Log in every day to get %s diamonds ,احصل على ٪s ماسة كل شهر ، وقم بتسجيل الدخول كل يوم للحصول على ٪s ماسة,Her ay %s elmas kazanın. %s elmas kazanmak için her gün giriş yapın.,Dapatkan berlian %s setiap bulan. Masuk setiap hari untuk mendapatkan berlian %s,Каждый месяц получать %s бриллиантов. После входа ежедневно получить %s бриллиантов. ,매달 %s다이아몬드 획득. 매일 등록 %s 다이아몬드 획득,Obter %s diamantes por mês. Faça login todos os dias para obter %s diamantes,รับ%sเพชรทุกเดือน เข้าสู่ระบบทุกวันรับ%sเพชร,Obtener %s diamantes cada mes. Inicie sesión diariamente para obtener %s diamantes.,हर महीने %s हीरे प्राप्त करें%s हीरे प्राप्त करने के लिए हर दिन लॉग इन करें,Mỗi tháng nhận được %s kim cương. Mỗi ngày đăng nhập nhận được %s kim cương,ہر مہین%s ہیرے حاصل کریں۔%s  ہیرے حاصل کرنے کے لئے ہر روز لاگ ان کریں
设置,开启消息提醒,Message Notification,اشعار الرسالة,Mesaj Bildirimi,Pemberitahuan Pesan.,Открыть напоминание о сообщении,메세지 알림 켜기,Notificação de mensagem,เปิดการแจ้งเตือนข้อความ,Notificación de mensaje,संदेश की अधिसूचना,Mở thông báo tin nhắn,پیغام کی اطلاع
,开启匹配提醒,Match Notification,إشعار اقتران,Eşleşme Bildirimi,Pemberitahuan Maret,Открыть напоминание о составлении пары ,매칭 알림 켜기,Notificação de combinação,เปิดการแจ้งเตือนการจับคู่,Notificación de coincide,मिलान अधिसूचना,Mở thông báo kết hợp,میچ کی اطلاع
,连接记录,Connection Log,سجل الارتباط,Giriş Yapma Bağlantısı,Log Koneksi,Записи соединения,연결 기록,Registro de conexão,บันทึกการเชื่อมต่อ,Registro de conexión,कनेक्शन लॉग,Bản ghi kết nối,کنکشن لاگ
,日期,Date,تاريخ,Tarih,Tanggal,Дата ,날짜,Data,วันที่,Fecha,तारीख,Ngày tháng,تاریخ
,连接次数,Frequency,تكرر,Sıklık,Frekuensi,Число раз соединения ,연결 찻수 ,Frequência,จำนวนครั้งในการเชื่อมต่อ,Frecuencia,आवृत्ति,Số lần kết nối,لنکس کی تعداد
,连接时长,Duration,المدة الزمنية,Süre,Durasi,Время соединения ,연결 시간,Duração,เวลาเชื่อมต่อ,Duración,अवधि,Thời lượng kết nối,لنک کا دورانیہ 
,查看黑名单,Blocked List,قائمة الحظر,Engelliler Listesi,Daftar Diblokir,Черный список,블랙 리스트,Lista bloqueada,บัญชีดำ,Lista negra,अवरुद्ध सूची,Danh sách đen,مسدود فہرست
,为Hilo评分,Rate Us,قم بتقيمنا,Bizi Değerlendirin,Beri Nilai Kami,Дать оценку Hilo,Hilo 에게 평점,Classifique Hilo,รีวิว Hilo,Califícanos,Hilo रेटिंग दें,Đánh giá cho Hilo,ہمیں درجہ دیں
,意见反馈,Feedback,اقتراحات,Geri Bildirim,Umpan Balik,Мнения и отзывы,의견 피드백,Comentários ,ผลตอบรับ,Realimentación,प्रतिपुष्टि,Phản hồi ý kiến,آراء
,反馈描述,Description,وصف,Açıklama,Deskripsi,Описать отклик,피드백 내용,Descrição,คำอธิบายผลตอบรับ,Descripción,विवरण,Mô tả phản hồi,وضاحت
,请描述你的问题,Please describe your problem in detail,يرجى وصف مشكلتك بالتفصيل,Lütfen sorununuzu ayrıntılı bir şekilde açıklayın.,Tolong jelaskan masalah Anda inp detail.,Описать твой вопрос ,문제를 설명하세요,Descreva seu problema em detalhes,โปรดอธิบายคำถามของคุณ,Por favor describe tu problema,कृपया अपनी समस्या का विस्तार में वर्णन करें,Hãy mô tả các vấn đề của bạn,براہ کرم اپنے مسئلے کو تفصیل سے بیان کریں
,图片,Image,صورة,Görüntü,Gambar,Рисунок ,사진,Imagem,ภาพ,Imagen,छवि (इमेज),Hình ảnh,تصویر
,提交,Submit,إرسال,Gönder,Kirim,Передать ,제출,Submeter,ส่ง,Enviar,जमा करें,Gửi,جمع کرائیں
,清除缓存,Clear Cache,مسح ذاكرة التخزين المؤقت,Ön Belleği Temizle,Bersihkan Cache,Удалить буферную память,잔고 청산,Limpar cache,ล้างแคช,Borrar la caché,कैशे को साफ़ करें,Xóa bộ nhớ Cache  ,کیشے صاف کریں
,请输入问题,Please enter the question ,يرجى إدخال السؤال,Lütfen soru girin.,Silakan masukkan pertanyaan,Вводить вопрос ,문제를 입력하세요,Digite a pergunta,กรุณากรอกคำถาม,Por favor introduce el problema,कृपया प्रश्न दर्ज करें,Hãy nhập vấn đề,براہ مہربانی سوال درج کریں
,请上传图片,Please upload the picture ,يرجى تحميل صورة,Lütfen resim yükleyin.,Harap unggah gambar,Закачивайте рисунок ,사진 올려주세요,Carregue a imagem,กรุณาอัพโหลดรูปภาพ,Por favor sube la imagen,कृपया तस्वीर अपलोड करें,Hãy tải lên hình ảnh,برائے مہربانی تصویر اپلوڈ کریں
,是否确认清理,Confirm to clear?,تأكيد التنظيف؟,Temizlensin mi?,Konfirmasikan untuk menghapus?,Ли удалить? ,정산 확인 여부,Confirme para limpar?,ยืนยันการล้างหรือไม่,Confirmar Borra,साफ करने का पुष्टि करें?,Có xác nhận xóa không,کیا آپ صاف کرنے کیلیٗے پر یقین 
,用户协议,Platform Policy,سياسة البرنامج,Platform Politikası,Kebijakan Platform,Пользовательское соглашение,사용자 계약,Política de Plataforma,ข้อตกลงผู้ใช้,Acuerdo del Usuario,प्लेटफार्म की नीति,Sự thỏa thuận của người dùng,صارف کا معاہدہ
,服务条款,Terms of Service,شروط الخدمة,Hizmet Koşulları,Ketentuan Layanan,Условия предоставления услуг,서비스 조항,Termos de serviço,เงื่อนไขการให้บริการ,Términos del Servicio,सेवा की शर्तें,Điều khoản dịch vụ,سروس کی شرائط
,隐私政策,Privacy Policy,سياسة خاصة,Gizlilik Politikası,Kebijakan Privasi,Политика конфиденциальности,개인정보 정책,Política de Privacidade,นโยบายความเป็นส่วนตัว,Política de Privacidad,गोपनीयता नीति,Chính sách riêng tư,رازداری کی پالیسی
,版权政策,Copyright Policy,سياسة حقوق النشر,Telif Hakkı Politikası,Kebijakan Hak Cipta,Политика авторского права,저작권 정책,Política de direitos autorais,นโยบายลิขสิทธิ์,Politica de derechos de autor,कॉपीराइट नीति,Chính sách bản quyền,حق اشاعت کی پالیسی
,退出,Log out,تسجيل خروج,Çıkış Yap,Logout,Выход,나가기,Sair,ออก,Salir,लॉग आउट करें,Đăng xuất,لاگ آوٹ کریں
我的设置,个人页面,Profile,الملف الشخصي,Profil,Profil,Личная страница ,프로필,Perfil,หน้าส่วนตัว,Perfil,प्रोफ़ाइल,Trang cá nhân,پروفایٗل صفحہ
